_id,Name,Learning Item Title,Status,Assignment Type,Progress,Manager,Assignment Date,Evaluation,Completion Date,Due Date,Initiative Name,Assignment Comments,Recommends Category,Learning Item Type,Actual Effort,Actual Effort in Units,Actual Score,Assignment Profile Number,Assignment Number,Initiative Number,Person Number,Plan Name,Plan Status,Record Status,Current Waitlist Position,Net Amount Paid,Start on or After,Complete By,Purchase Order Number,Request Comments,Learning Request Additional Attributes,Learning Completion Additional Attributes,Learning Item Additional Attributes,Context Segment,Topic
66588db8c83b78f74238d6b5,John Doe,Advanced MongoDB,Completed,Course,100%,Jane Smith,2024-01-15,Excellent,2024-04-20,2024-04-25,Database Training,Great course!,Databases,Online Course,15,Hours,95,APN001,AN001,IN001,PN001,2024 Learning Plan,Active,Active,N/A,500,2024-01-01,2024-04-25,PO001,N/A,N/A,N/A,N/A,Segment1,Databases
66588db8c83b78f74238d6b6,Jane Doe,Python for Data Science,In Progress,Workshop,75%,Mark Johnson,2024-02-10,Good,N/A,2024-06-01,Data Science Initiative,Very informative,Programming,Workshop,10,Hours,N/A,APN002,AN002,IN002,PN002,2024 Learning Plan,Active,Active,N/A,300,2024-02-01,2024-06-01,PO002,N/A,N/A,N/A,N/A,Segment2,Data Science
66588db8c83b78f74238d6b7,Robert Brown,Machine Learning Basics,Not Started,Course,0%,Emily Davis,2024-03-01,N/A,N/A,2024-07-01,AI Initiative,Excited to start,AI,Online Course,0,Hours,N/A,APN003,AN003,IN003,PN003,2024 Learning Plan,Active,Active,N/A,400,2024-03-01,2024-07-01,PO003,N/A,N/A,N/A,N/A,Segment3,Machine Learning
66588db8c83b78f74238d6b8,Alice Johnson,SQL for Beginners,Completed,Course,100%,Michael Brown,2024-01-10,Excellent,2024-03-15,2024-03-20,Database Training,Very helpful,Databases,Online Course,12,Hours,90,APN004,AN004,IN004,PN004,2024 Learning Plan,Active,Active,N/A,250,2024-01-01,2024-03-20,PO004,N/A,N/A,N/A,N/A,Segment1,Databases
66588db8c83b78f74238d6b9,Charlie Wilson,Big Data Analytics,In Progress,Workshop,60%,Lisa White,2024-04-01,Good,N/A,2024-08-01,Big Data Initiative,Interesting course,Data Science,Workshop,20,Hours,N/A,APN005,AN005,IN005,PN005,2024 Learning Plan,Active,Active,N/A,600,2024-04-01,2024-08-01,PO005,N/A,N/A,N/A,N/A,Segment4,Big Data
66588db8c83b78f74238d6ba,David Lee,Data Visualization,Completed,Course,100%,Karen Taylor,2024-05-01,Excellent,2024-05-25,2024-06-01,Visualization Initiative,Loved the visualizations,Data Science,Online Course,8,Hours,92,APN006,AN006,IN006,PN006,2024 Learning Plan,Active,Active,N/A,450,2024-05-01,2024-06-01,PO006,N/A,N/A,N/A,N/A,Segment2,Data Visualization
66588db8c83b78f74238d6bb,Emma Harris,Cybersecurity Basics,Not Started,Course,0%,James Anderson,2024-06-01,N/A,N/A,2024-10-01,Security Training,Looking forward to it,Security,Online Course,0,Hours,N/A,APN007,AN007,IN007,PN007,2024 Learning Plan,Active,Active,N/A,350,2024-06-01,2024-10-01,PO007,N/A,N/A,N/A,N/A,Segment5,Cybersecurity
66588db8c83b78f74238d6bc,Olivia Martinez,Cloud Computing,In Progress,Workshop,50%,Patricia Clark,2024-04-15,Good,N/A,2024-09-01,Cloud Initiative,Very technical,Technology,Workshop,15,Hours,N/A,APN008,AN008,IN008,PN008,2024 Learning Plan,Active,Active,N/A,700,2024-04-15,2024-09-01,PO008,N/A,N/A,N/A,N/A,Segment6,Cloud Computing
66588db8c83b78f74238d6bd,Lucas Rodriguez,DevOps Fundamentals,Completed,Course,100%,Steven Martinez,2024-03-10,Excellent,2024-05-20,2024-05-25,DevOps Initiative,Very practical,Technology,Online Course,20,Hours,93,APN009,AN009,IN009,PN009,2024 Learning Plan,Active,Active,N/A,550,2024-03-10,2024-05-25,PO009,N/A,N/A,N/A,N/A,Segment7,DevOps
66588db8c83b78f74238d6be,Sophia Hernandez,Agile Project Management,Not Started,Course,0%,Jeffrey Wilson,2024-05-01,N/A,N/A,2024-09-01,Project Management,Need to start soon,Management,Online Course,0,Hours,N/A,APN010,AN010,IN010,PN010,2024 Learning Plan,Active,Active,N/A,450,2024-05-01,2024-09-01,PO010,N/A,N/A,N/A,N/A,Segment8,Project Management
