_id,Name,Instructor Resource Number,Person Number,Department,City,Country,Training Supplier,Address Line 1,Virtual Classroom Provider,Postal Code,Contact Person Primary Email Address,Creation Date,Created By,Actions
665984c1e8a20aa2ed9a5069,John Smith,IR-001,P-1001,Computer Science,New York,USA,ABC Training Co.,123 Main St,Zoom,10001,john.smith@example.com,2024-05-01,Admin,Assign
665984c1e8a20aa2ed9a506a,Emma Brown,IR-002,P-1002,Mathematics,Los Angeles,USA,XYZ Training Services,456 Elm St,Microsoft Teams,90001,emma.brown@example.com,2024-05-02,Manager,Schedule
665984c1e8a20aa2ed9a506b,Michael Johnson,IR-003,P-1003,Physics,Chicago,USA,Education Plus,789 Oak St,Google Meet,60601,michael.johnson@example.com,2024-05-03,Supervisor,Assign
665984c1e8a20aa2ed9a506c,Sophia Lee,IR-004,P-1004,Chemistry,Houston,USA,Learn & Grow,101 Maple St,Cisco Webex,77001,sophia.lee@example.com,2024-05-04,Admin,Contact
665984c1e8a20aa2ed9a506d,David Martinez,IR-005,P-1005,Biology,Phoenix,USA,SkillUp,202 Pine St,Zoom,85001,david.martinez@example.com,2024-05-05,Coordinator,Schedule
6659850342ef39aa2248fc69,John Smith,IR-001,P-1001,Computer Science,New York,USA,ABC Training Co.,123 Main St,Zoom,10001,john.smith@example.com,2024-05-01,Admin,Assign
6659850342ef39aa2248fc6a,Emma Brown,IR-002,P-1002,Mathematics,Los Angeles,USA,XYZ Training Services,456 Elm St,Microsoft Teams,90001,emma.brown@example.com,2024-05-02,Manager,Schedule
6659850342ef39aa2248fc6b,Michael Johnson,IR-003,P-1003,Physics,Chicago,USA,Education Plus,789 Oak St,Google Meet,60601,michael.johnson@example.com,2024-05-03,Supervisor,Assign
6659850342ef39aa2248fc6c,Sophia Lee,IR-004,P-1004,Chemistry,Houston,USA,Learn & Grow,101 Maple St,Cisco Webex,77001,sophia.lee@example.com,2024-05-04,Admin,Contact
6659850342ef39aa2248fc6d,David Martinez,IR-005,P-1005,Biology,Phoenix,USA,SkillUp,202 Pine St,Zoom,85001,david.martinez@example.com,2024-05-05,Coordinator,Schedule
